Date,Open,Close,Pct_change_OC
"Mar 23, 2017",81.8,82.27,0.5745721271393629
"Mar 24, 2017",82.65,81.77,-1.0647307924984992
"Mar 27, 2017",82.75,80.58,-2.62235649546828
"Mar 28, 2017",82.5,80.78,-2.0848484848484836
"Mar 29, 2017",81.0,81.13,0.1604938271604882
"Mar 30, 2017",82.0,80.48,-1.8536585365853608
"Mar 31, 2017",80.85,81.42,0.705009276437857
"Apr 03, 2017",82.6,83.17,0.6900726392251906
05-Apr-2017,83.55,86.75,3.8300418910831873
06-Apr-2017,86.9,86.7,-0.23014959723820808
07-Apr-2017,87.0,84.21,-3.206896551724145
10-Apr-2017,84.8,85.51,0.8372641509434056
11-Apr-2017,86.45,88.94,2.880277617119716
12-Apr-2017,89.9,88.14,-1.9577308120133536
13-Apr-2017,88.5,90.78,2.5762711864406795
17-Apr-2017,91.2,93.57,2.5986842105263053
18-Apr-2017,95.0,91.73,-3.442105263157891
19-Apr-2017,92.0,95.81,4.14130434782609
20-Apr-2017,97.25,95.71,-1.5835475578406235
21-Apr-2017,96.95,96.36,-0.60856111397628
24-Apr-2017,96.1,98.64,2.643080124869934
25-Apr-2017,99.15,99.24,0.09077155824507231
26-Apr-2017,100.9,96.31,-4.549058473736376
27-Apr-2017,97.5,94.41,-3.1692307692307726
28-Apr-2017,95.65,94.96,-0.7213800313643617
02-May-2017,95.4,98.4,3.1446540880503147
03-May-2017,99.05,97.7,-1.362948006057541
04-May-2017,98.15,97.2,-0.9679062659195138
05-May-2017,98.0,94.02,-4.061224489795922
08-May-2017,93.6,95.11,1.613247863247869
09-May-2017,96.05,95.31,-0.7704320666319572
10-May-2017,96.1,94.96,-1.1862643080124877
11-May-2017,95.4,96.16,0.79664570230607
12-May-2017,96.75,93.42,-3.4418604651162776
15-May-2017,94.05,96.75,2.8708133971291896
16-May-2017,98.35,99.74,1.413319776309101
17-May-2017,101.2,100.74,-0.4545454545454624
18-May-2017,100.0,96.75,-3.25
19-May-2017,98.0,95.06,-2.999999999999998
22-May-2017,95.5,94.86,-0.6701570680628278
23-May-2017,94.1,90.53,-3.793836344314552
24-May-2017,86.7,82.87,-4.417531718569779
25-May-2017,83.7,85.41,2.0430107526881645
26-May-2017,86.6,87.0,0.4618937644341867
29-May-2017,88.0,84.71,-3.738636363636371
30-May-2017,85.0,83.86,-1.3411764705882359
31-May-2017,85.05,87.4,2.7630805408583288
01-Jun-2017,88.0,86.45,-1.7613636363636331
02-Jun-2017,87.45,87.7,0.2858776443682104
05-Jun-2017,88.8,86.75,-2.3085585585585555
06-Jun-2017,87.2,84.61,-2.970183486238536
07-Jun-2017,85.25,86.65,1.642228739002939
08-Jun-2017,87.9,85.85,-2.332195676905587
09-Jun-2017,86.2,89.89,4.280742459396749
12-Jun-2017,90.9,90.58,-0.3520352035203601
13-Jun-2017,91.9,90.13,-1.9260065288357018
14-Jun-2017,90.9,90.38,-0.5720572057205833
15-Jun-2017,89.95,90.13,0.20011117287381058
16-Jun-2017,90.75,89.84,-1.0027548209366353
19-Jun-2017,90.95,90.98,0.032985156679495475
20-Jun-2017,92.8,90.88,-2.0689655172413812
21-Jun-2017,90.8,90.43,-0.4074889867841303
22-Jun-2017,91.5,91.13,-0.40437158469945855
23-Jun-2017,92.0,89.49,-2.728260869565223
27-Jun-2017,89.9,88.19,-1.9021134593993412
28-Jun-2017,88.0,89.09,1.2386363636363675
29-Jun-2017,89.9,88.59,-1.4571746384872104
30-Jun-2017,88.9,87.1,-2.024746906636683
03-Jul-2017,87.9,89.24,1.5244596131968022
04-Jul-2017,89.75,88.59,-1.2924791086350937
05-Jul-2017,89.4,90.13,0.8165548098433889
06-Jul-2017,90.75,90.83,0.0881542699724499
07-Jul-2017,91.0,88.89,-2.318681318681318
10-Jul-2017,90.45,89.89,-0.6191265892758455
11-Jul-2017,90.65,88.59,-2.272476558190846
12-Jul-2017,89.65,93.77,4.595649749023971
13-Jul-2017,95.8,94.46,-1.3987473903966632
14-Jul-2017,95.75,93.92,-1.9112271540469956
17-Jul-2017,95.1,93.47,-1.7139852786540437
18-Jul-2017,92.6,91.28,-1.425485961123103
19-Jul-2017,91.05,91.48,0.4722679846238405
20-Jul-2017,92.0,90.98,-1.1086956521739089
21-Jul-2017,91.9,90.43,-1.5995647442872674
24-Jul-2017,91.5,91.08,-0.4590163934426248
25-Jul-2017,91.0,90.23,-0.8461538461538418
26-Jul-2017,90.7,89.79,-1.0033076074972398
27-Jul-2017,90.6,88.89,-1.8874172185430396
28-Jul-2017,88.85,89.49,0.7203151378728201
31-Jul-2017,90.0,88.44,-1.733333333333336
01-Aug-2017,89.15,88.49,-0.7403252944475723
02-Aug-2017,89.0,89.84,0.943820224719105
03-Aug-2017,91.0,87.55,-3.7912087912087946
04-Aug-2017,88.9,86.7,-2.4746906636670447
07-Aug-2017,87.1,89.95,3.272101033295073
08-Aug-2017,91.0,89.15,-2.0329670329670266
09-Aug-2017,89.5,89.65,0.16759776536313484
10-Aug-2017,89.25,82.35,-7.731092436974796
11-Aug-2017,81.75,82.85,1.3455657492354671
14-Aug-2017,85.0,86.25,1.4705882352941175
16-Aug-2017,86.25,87.75,1.7391304347826086
17-Aug-2017,87.95,87.7,-0.28425241614553726
18-Aug-2017,87.9,87.3,-0.6825938566552997
21-Aug-2017,87.9,85.2,-3.0716723549488085
22-Aug-2017,85.65,84.15,-1.7513134851138354
23-Aug-2017,84.2,86.2,2.375296912114014
24-Aug-2017,87.5,86.5,-1.1428571428571428
28-Aug-2017,86.5,86.5,0.0
